origin,destination,average_fare
"Albuquerque, NM","Dallas/Fort Worth, TX",217.65
"Albuquerque, NM","Denver, CO",146.99571428571429
"Albuquerque, NM","Austin, TX",173.4175
"Albuquerque, NM","Phoenix, AZ",152.31
"Albuquerque, NM","Boston, MA (Metropolitan Area)",267.96
"Albuquerque, NM","Chicago, IL",259.17499999999995
"Albuquerque, NM","Houston, TX",248.0575
"Albuquerque, NM","Orlando, FL",220.20666666666668
"Albuquerque, NM","Las Vegas, NV",157.6825
"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",186.96000000000004
"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",162.67285714285714
"Albuquerque, NM","San Diego, CA",145.66250000000002
"Albuquerque, NM","Portland, OR",201.09333333333333
"Albuquerque, NM","Washington, DC (Metropolitan Area)",287.74
"Albuquerque, NM","Atlanta, GA (Metropolitan Area)",260.7133333333333
"Albuquerque, NM","Seattle, WA",189.27499999999998
"Albuquerque, NM","Salt Lake City, UT",227.86
"Dallas/Fort Worth, TX","Pittsburgh, PA",221.38
"Dallas/Fort Worth, TX","Denver, CO",177.49
"Dallas/Fort Worth, TX","Phoenix, AZ",215.91000000000003
"Dallas/Fort Worth, TX","Hartford, CT",334.68333333333334
"Dallas/Fort Worth, TX","El Paso, TX",218.445
"Dallas/Fort Worth, TX","Nashville, TN",218.615
"Dallas/Fort Worth, TX","St. Louis, MO",206.08249999999998
"Dallas/Fort Worth, TX","Jacksonville, FL",274.885
"Dallas/Fort Worth, TX","Houston, TX",201.2875
"Dallas/Fort Worth, TX","Orlando, FL",206.15
"Dallas/Fort Worth, TX","Panama City, FL",220.74
"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",232.9675
"Dallas/Fort Worth, TX","Indianapolis, IN",243.615
"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",236.78
"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",204.1925
"Dallas/Fort Worth, TX","Little Rock, AR",181.41249999999997
"Dallas/Fort Worth, TX","Louisville, KY",272.31
"Dallas/Fort Worth, TX","Sacramento, CA",270.3525
"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",204.19500000000002
