Origin city,Destination city,Average fare (in $)
"Albuquerque, NM","Dallas/Fort Worth, TX",218
"Albuquerque, NM","Denver, CO",147
"Albuquerque, NM","Austin, TX",173
"Albuquerque, NM","Phoenix, AZ",152
"Albuquerque, NM","Boston, MA (Metropolitan Area)",268
"Albuquerque, NM","Chicago, IL",259
"Albuquerque, NM","Houston, TX",248
"Albuquerque, NM","Orlando, FL",220
"Albuquerque, NM","Las Vegas, NV",158
"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",187
"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",163
"Albuquerque, NM","San Diego, CA",146
"Albuquerque, NM","Portland, OR",201
"Albuquerque, NM","Washington, DC (Metropolitan Area)",288
"Albuquerque, NM","Atlanta, GA (Metropolitan Area)",261
"Albuquerque, NM","Seattle, WA",189
"Albuquerque, NM","Salt Lake City, UT",228
"Dallas/Fort Worth, TX","Pittsburgh, PA",221
"Dallas/Fort Worth, TX","Denver, CO",177
"Dallas/Fort Worth, TX","Phoenix, AZ",216
"Dallas/Fort Worth, TX","Hartford, CT",335
"Dallas/Fort Worth, TX","El Paso, TX",218
"Dallas/Fort Worth, TX","Nashville, TN",219
"Dallas/Fort Worth, TX","St. Louis, MO",206
"Dallas/Fort Worth, TX","Jacksonville, FL",275
"Dallas/Fort Worth, TX","Houston, TX",201
"Dallas/Fort Worth, TX","Orlando, FL",206
"Dallas/Fort Worth, TX","Panama City, FL",221
"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",233
"Dallas/Fort Worth, TX","Indianapolis, IN",244
"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",237
"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",204
"Dallas/Fort Worth, TX","Little Rock, AR",181
"Dallas/Fort Worth, TX","Louisville, KY",272
"Dallas/Fort Worth, TX","Sacramento, CA",270
"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",204
"Dallas/Fort Worth, TX","Kansas City, MO",174
"Dallas/Fort Worth, TX","San Antonio, TX",190
"Dallas/Fort Worth, TX","Memphis, TN",199
"Dallas/Fort Worth, TX","Omaha, NE",212
"Dallas/Fort Worth, TX","Milwaukee, WI",205
"Dallas/Fort Worth, TX","New Orleans, LA",170
"Dallas/Fort Worth, TX","San Diego, CA",199
"Dallas/Fort Worth, TX","Oklahoma City, OK",181
"Dallas/Fort Worth, TX","Raleigh/Durham, NC",250
"Dallas/Fort Worth, TX","Reno, NV",282
"Dallas/Fort Worth, TX","Des Moines, IA",251
"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",222
"Dallas/Fort Worth, TX","Detroit, MI",198
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",276
"Dallas/Fort Worth, TX","Pensacola, FL",244
"Dallas/Fort Worth, TX","Philadelphia, PA",254
"Dallas/Fort Worth, TX","Salt Lake City, UT",216
"Dallas/Fort Worth, TX","Lubbock, TX",192
"Dallas/Fort Worth, TX","Midland/Odessa, TX",229
"Dallas/Fort Worth, TX","Tulsa, OK",158
"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",299
"Dallas/Fort Worth, TX","Richmond, VA",321
"Dallas/Fort Worth, TX","Amarillo, TX",185
"Dallas/Fort Worth, TX","Austin, TX",187
"Dallas/Fort Worth, TX","Birmingham, AL",235
"Dallas/Fort Worth, TX","Cleveland, OH (Metropolitan Area)",285
"Dallas/Fort Worth, TX","Boise, ID",255
"Dallas/Fort Worth, TX","Buffalo, NY",236
"Dallas/Fort Worth, TX","Chicago, IL",207
"Dallas/Fort Worth, TX","Charleston, SC",241
"Dallas/Fort Worth, TX","Columbus, OH",240
"Dallas/Fort Worth, TX","Atlanta, GA (Metropolitan Area)",180
